id,keywords
554152,[]
375588,[]
361292,"[{'id': 6152, 'name': 'supernatural'}, {'id': 9714, 'name': 'remake'}, {'id': 10551, 'name': 'ballet'}, {'id': 165244, 'name': 'ballet school'}]"
457243,[]
422619,[]
548754,"[{'id': 703, 'name': 'detective'}, {'id': 9826, 'name': 'murder'}]"
488740,[]
448447,"[{'id': 14534, 'name': 'relationship'}, {'id': 33494, 'name': 'couple'}]"
560439,[]
557658,[]
412771,[]
476299,"[{'id': 3298, 'name': 'hallucination'}, {'id': 6255, 'name': 'insanity'}, {'id': 13006, 'name': 'torture'}, {'id': 170351, 'name': 'reality vs fantasy'}]"
299782,"[{'id': 1228, 'name': '1970s'}, {'id': 4610, 'name': 'comeback'}, {'id': 8201, 'name': 'satire'}, {'id': 9732, 'name': 'film in film'}, {'id': 9755, 'name': 'parody'}, {'id': 10183, 'name': 'independent film'}, {'id': 11800, 'name': 'mockumentary'}, {'id': 12396, 'name': 'hollywood'}, {'id': 14530, 'name': 'director'}, {'id': 33490, 'name': 'filmmaking'}, {'id': 34079, 'name': 'death'}]"
491472,[]
472451,"[{'id': 237, 'name': 'gay'}, {'id': 9672, 'name': 'based on a true story'}, {'id': 10683, 'name': 'coming of age'}, {'id': 11001, 'name': 'religion'}, {'id': 14641, 'name': 'based on memoir or autobiography'}, {'id': 163037, 'name': 'lgbt teen'}, {'id': 185722, 'name': 'based on true events'}, {'id': 238832, 'name': 'conversion therapy'}]"
514619,[]
554205,[]
547454,"[{'id': 2231, 'name': 'drug dealer'}, {'id': 5950, 'name': 'christian'}, {'id': 6150, 'name': 'faith'}, {'id': 6157, 'name': 'prayer'}, {'id': 12670, 'name': 'los angeles'}, {'id': 249082, 'name': 'incarcerated'}]"
476764,[]
486947,[]
451915,"[{'id': 582, 'name': 'san francisco'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on a true story'}, {'id': 10649, 'name': 'drug rehabilitation'}, {'id': 11341, 'name': 'methamphetamine'}, {'id': 14641, 'name': 'based on memoir or autobiography'}, {'id': 240119, 'name': 'father son relationship'}]"
437586,"[{'id': 390, 'name': 'skateboarding'}, {'id': 10683, 'name': 'coming of age'}, {'id': 12670, 'name': 'los angeles'}, {'id': 13130, 'name': 'teenager'}, {'id': 211510, 'name': 'skate punk'}]"
484355,"[{'id': 10229, 'name': 'singer'}, {'id': 14512, 'name': 'new york city'}, {'id': 188343, 'name': 'diagnosis'}]"
491584,"[{'id': 172695, 'name': 'burning'}]"
220882,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 4565, 'name': 'dystopia'}, {'id': 9807, 'name': 'noir'}, {'id': 155532, 'name': 'fatal attraction'}, {'id': 210389, 'name': 'love puzzle'}]"
526034,"[{'id': 1862, 'name': 'coming out'}, {'id': 2316, 'name': ""women's sexual identity""}, {'id': 2669, 'name': 'motel'}, {'id': 4543, 'name': 'thanksgiving'}, {'id': 9833, 'name': 'lesbian relationship'}, {'id': 10041, 'name': 'dysfunctional family'}, {'id': 10201, 'name': 'death of father'}, {'id': 158718, 'name': 'lgbt'}, {'id': 187056, 'name': 'woman director'}, {'id': 226766, 'name': 'roommate issues'}]"
466411,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 6075, 'name': 'sport'}, {'id': 9672, 'name': 'based on a true story'}]"
283601,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 2215, 'name': 'hurricane'}, {'id': 2669, 'name': 'motel'}, {'id': 2708, 'name': 'hitman'}, {'id': 41600, 'name': 'laundry'}]"
458969,"[{'id': 6158, 'name': 'cult'}, {'id': 8508, 'name': 'party'}, {'id': 10714, 'name': 'serial killer'}, {'id': 227556, 'name': 'social elite'}]"
401847,"[{'id': 187056, 'name': 'woman director'}]"
538238,[]
542202,[]
505192,"[{'id': 12279, 'name': 'family drama'}, {'id': 13014, 'name': 'orphan'}, {'id': 155419, 'name': 'shoplifting'}]"
531820,[]
534530,[]
507525,[]
497864,"[{'id': 187056, 'name': 'woman director'}]"
557544,[]
507505,"[{'id': 242411, 'name': 'carlos robledo puch'}]"
502124,"[{'id': 900, 'name': 'trailer park'}, {'id': 6733, 'name': 'bullying'}, {'id': 10061, 'name': 'dysfunctional marriage'}, {'id': 10683, 'name': 'coming of age'}, {'id': 159431, 'name': 'voice over'}, {'id': 187056, 'name': 'woman director'}, {'id': 212820, 'name': ""soldier's wife""}, {'id': 240315, 'name': 'mother daughter relationship'}, {'id': 249081, 'name': 'pain medication'}]"
